CB,NA,FT,FR,SDT,LOC,PRO,EST,EST2,EST3,EST4,EST5,EST6,SDR,LON,LAT,BN,CS,N,NRE,MME,MME2,PTX,PIM,TA,MMA,MMA2,POL,ACU,E,CT,HA,AAL,USU,ETI,CON,SER_SIS1
181,838,19315.000,18305.000,,VILLA GOBERNADOR GAL,SF,SWIFT ARMOUR,,,,,2124,,603647,330023,7.000,2,120,,,,13.0,-83.0,0,,,,286.2,0.0,14,42,2.5,TELECOM ARGENTINA S.A.,1693CNT 95,C,MXD
181,839,18765.000,17755.000,,ROSARIO,SF,MOLINOS RIO DE LA PL,,,,,2000,,604053,325932,8.000,2,120,,,,10.0,-86.0,0,,,,102.1,0.0,21,21,1.2,TELECOM ARGENTINA S.A.,3480CNT 95,C,MXD
181,840,17755.000,18765.000,,ROSARIO,SF,ARIJON,,,,,2000,,603847,325955,8.000,2,120,,,,10.0,-86.0,0,,,,282.1,0.0,21,29,1.2,TELECOM ARGENTINA S.A.,3480CNT 95,C,MXD
181,841,18305.000,19315.000,,LA PLAYOSA,CD,LA PLAYOSA REP,,,,,5911,,630200,320630,8.000,2,120,,,,16.0,-86.0,906,,,V,6.0,0.0,172,35,0.0,TELECOM ARGENTINA S.A.,5016CNT 95,C,MXD
181,842,19315.000,18305.000,,LA PLAYOSA,CD,LA PLAYOSA COOP,,,,,5911,,630145,320550,8.000,2,120,,,,16.0,-86.0,906,,,V,186.0,0.0,172,24,0.0,TELECOM ARGENTINA S.A.,5016CNT 95,C,MXD
181,843,17755.000,18765.000,,SAN FRANCISCO (DTO.,CD,SAN FRANCISCO,,,,,2400,,620500,312553,28.000,2,480,,,,13.5,-76.0,0,,,,24.3,0.0,113,26,0.0,TELECOM ARGENTINA S.A.,13582CNT 95,C,MXD
181,844,18765.000,17755.000,,SAN FRANCISCO (DTO.,CD,SAN FRANCISCO CTI,,,,,2400,,620432,312500,28.000,2,480,,,,13.5,-76.0,0,,,,204.3,0.0,113,40,0.0,TELECOM ARGENTINA S.A.,13582CNT 95,C,MXD
181,845,19370.000,18360.000,,RINCON DEL CAZADOR,BA,EL CAZADOR,,,,,1625,,584538,341828,28.000,2,480,,,,19.0,-83.0,0,,,,213.1,0.0,16,40,0.0,TELECOM ARGENTINA S.A.,16828CNT 95,C,MXD
181,846,18360.000,19370.000,,ESCOBAR,BA,ESCOBAR,,,,,1625,,584745,342055,28.000,2,480,,,,19.0,-83.0,0,,,,33.1,0.0,23,39,0.0,TELECOM ARGENTINA S.A.,16828CNT 95,C,MXD
181,847,17755.000,18765.000,,RIO PRIMERO,CD,RIO PRIMERO CENTRAL,,,,,5127,,633726,311954,8.000,2,120,,,,13.0,-80.0,0,,,,339.4,0.0,245,12,1.0,TELECOM ARGENTINA S.A.,27901CNT 96,C,MXD
181,848,18765.000,17755.000,,RIO PRIMERO,CD,RIO PRIMERO REP,,,,,5127,,633733,311938,8.000,2,120,,,,13.0,-80.0,0,,,,159.4,0.0,247,25,1.0,TELECOM ARGENTINA S.A.,27901CNT 96,C,MXD
181,849,17755.000,18765.000,,GUALEGUAYCHU,ER,GUALEGUAYCHU,,,,,2820,,583143,330112,28.000,2,480,,,,19.0,-83.0,0,,,,42.5,0.0,10,24,2.0,TELECOM ARGENTINA S.A.,37579CNT 96,C,MXD
181,850,18765.000,17755.000,,GUALEGUAYCHU,ER,GUALEGUAYCHU,,,,,2820,,583059,330032,28.000,2,480,,,,19.0,-83.0,0,,,,222.5,0.0,10,40,2.0,TELECOM ARGENTINA S.A.,37579CNT 96,C,MXD
181,851,17755.000,18765.000,,CONCORDIA,ER,CONCORDIA,,,,,3200,,580100,312400,27.000,2,480,,,,19.0,-83.0,0,,,,35.9,0.0,28,40,0.0,TELECOM ARGENTINA S.A.,1605CNC 97,C,MXD
181,852,18765.000,17755.000,,CONCORDIA,ER,CONCORDIA CTI,,,,,3200,,580110,312254,27.000,2,480,,,,19.0,-83.0,0,,,,35.9,0.0,28,40,0.0,TELECOM ARGENTINA S.A.,1605CNC 97,C,MXD
