CB,N,3,0|NA,N,4,0|FT,N,9,3|FR,N,9,3|SDT,C,7|LOC,C,20|PRO,C,2|SDR,C,7|LON,N,6,0|LAT,N,6,0|BN,N,7,3|CS,C,1|NRE,C,11|MME,C,20|MME2,C,20|PTX,N,4,1|PIM,N,6,1|TA,N,4,0|MMA,C,20|MMA2,C,20|POL,C,2|ACU,N,5,1|E,N,5,1|CT,N,4,0|HA,N,3,0|AAL,N,4,1|CON,C,1|SER_SIS1,C,5|OBS,C,40
11|296|1514|1460|AZL32|HILARIO ASCASUBI|BA|AZK531|623843|392233|1.6|2|C-0316|IATA|RMD-1502|30|-115|102|ANDREW|GP6-15|H|193.1|0|16|23|2.6|A|MXD|
11|307|1460|1514|AZK537|PIGUE|BA|AZL94|622609|373515|2|2|C-0316|IATA|RMD-1502|27|-115|102|ANDREW|GP6-15|H|53.2|0|290|30|3.4|A|MXD|
11|308|1514|1460|AZL94|PIGUE|BA|AZK537|621845|373051|2|2|C-0316|IATA|RMD-1502|27|-115|102|ANDREW|GP6-15|H|233.2|0|270|18|4.3|A|MXD|
11|353|1448|1502|AZK72|CAÑUELAS|BA|AZL82|584622|350336|2|2|C-0316|IATA|RMD-1502|27|-101|102|ANDREW|GP6-15|H|236.2|0|30|40|4.4|A|MXD|
11|354|1502|1448|AZL82|URIBELARREA|BA|AZK72|585328|350730|2|2|C-0316|IATA|RMD-1502|27|-101|102|ANDREW|GP6-15|H|56.2|0|31|33|4.1|A|MXD|
11|357|1460|1514|AZL219|CALEUFU|LP|AZL220|643331|353545|2|2|C-0316|IATA|RMD-1502|27|-115|102|ANDREW|GP6-15|H|104.4|0|203|72|6.4|A|MXD|
11|358|1514|1460|AZL220|ARATA|LP|AZL219|642117|353818|2|2|C-0316|IATA|RMD-1502|27|-115|102|ANDREW|GP6-15|H|284.4|0|213|18|3.4|A|MXD|
11|359|1460|1514|AZK384|CHIVILCOY|BA|AZL238|600115|345349|2|2|C-0316|IATA|RMD-1502|27|-101|102|ANDREW|GP6-15|H|282.6|0|52|85|6.7|A|MXD|
11|360|1514|1460|AZL238|CORONEL MOM|BA|AZK384|601814|345044|2|2|C-0316|IATA|RMD-1502|27|-101|102|ANDREW|GP6-15|H|102.6|0|59|36|5.1|A|MXD|
11|361|1462|1516|AZK561|REALICO|LP|AZL221|641440|350220|2|2|C-0316|IATA|RMD-1502|27|-115|102|ANDREW|GP6-15|H|86.9|0|162|45|4.7|A|MXD|
